lens,layer,cv_scheme,auroc_mean,ci_low,ci_high,n_train,n_test
cos,15,stratified_10fold,0.6057904227476106,0.5937164072709625,0.6190392441425319,7207,801
cos,15,logo,0.5966011605232173,0.5832240991481777,0.6097120269265663,7474,533
cos,16,stratified_10fold,0.5930707450604836,0.5807354922265267,0.6069987667401924,7207,801
cos,16,logo,0.5805640073674905,0.5675748695503938,0.5939055889393151,7474,533
cos,17,stratified_10fold,0.6463910475260641,0.6349834250485876,0.6596946159744447,7207,801
cos,17,logo,0.6402220810119889,0.6274575066565852,0.653243935157121,7474,533
cos,18,stratified_10fold,0.6824218358021228,0.6708977591525436,0.6956216207621022,7207,801
cos,18,logo,0.676509047261928,0.6641176556616292,0.6897646981321746,7474,533
cos,19,stratified_10fold,0.6598595826455752,0.6481416866840902,0.673893016181538,7207,801
cos,19,logo,0.6532662474047058,0.6407416603742907,0.6664060733161729,7474,533
cos,20,stratified_10fold,0.6678729684513904,0.656417722168369,0.6810886339085844,7207,801
cos,20,logo,0.6615496852304305,0.6479058685626334,0.6743143605551228,7474,533
cos,21,stratified_10fold,0.686896889936172,0.675094004971277,0.6993799518287843,7207,801
cos,21,logo,0.6812389278084129,0.6688978573881503,0.693266932256298,7474,533
cos,22,stratified_10fold,0.6393884368238439,0.6267833194434124,0.6535270528967202,7207,801
cos,22,logo,0.6316135339757427,0.6193972512397192,0.6444195966970588,7474,533
cos,23,stratified_10fold,0.5754161863824245,0.5624964576211138,0.5888342545929899,7207,801
cos,23,logo,0.5640109432846582,0.5504054459546001,0.5760588713766885,7474,533
cos,24,stratified_10fold,0.612450285843302,0.599441455092922,0.6262142550798304,7207,801
cos,24,logo,0.6025520457667544,0.5893578623407805,0.6158468239483169,7474,533
cos,25,stratified_10fold,0.5651776926448611,0.5513800197877767,0.5790408708061187,7207,801
cos,25,logo,0.5440827907702097,0.530621810290575,0.5567210750679469,7474,533
cos,26,stratified_10fold,0.6333143307697896,0.6195953716726071,0.6464732420561853,7207,801
cos,26,logo,0.624015416130747,0.6115383048254259,0.6376399176440429,7474,533
cos,27,stratified_10fold,0.714563539836579,0.701749656208468,0.7273468767453467,7207,801
cos,27,logo,0.7125205534806272,0.7007779154833761,0.7251706726936039,7474,533
cos,28,stratified_10fold,0.6983687770811758,0.685708165320021,0.7106455439990623,7207,801
cos,28,logo,0.696192190247347,0.6838829113345877,0.7078801445421797,7474,533
cos,29,stratified_10fold,0.6039090120729369,0.5905493764758587,0.6172423034447935,7207,801
cos,29,logo,0.5955319541621954,0.5817737976687569,0.6098116317829388,7474,533
cos,30,stratified_10fold,0.7290547394148356,0.7166525280142583,0.7412266893388104,7207,801
cos,30,logo,0.7231536572033067,0.7117051063527735,0.7351677526058529,7474,533
cos,31,stratified_10fold,0.7290547394148356,0.7166525280142583,0.7412266893388104,7207,801
cos,31,logo,0.7231536572033067,0.7117051063527735,0.7351677526058529,7474,533
